ticker,sector,market_cap,pe_ratio,pb_ratio,roe,profit_margin
AAPL,Technology,4631217307648,38.174335,43.432507,1.4147099,0.27152002
ABBV,Healthcare,438305980416,122.2069,-65.85612,,0.05786
ABT,Healthcare,163608510464,26.310925,3.1426277,0.123339996,0.13904999
ADBE,Technology,88896897024,12.786736,7.7472544,0.62953997,0.28689
AEP,Utilities,73688137728,20.034021,2.3161116,0.12585,0.16289
AMGN,Healthcare,196124606464,25.323345,21.340734,1.01318,0.20955999
AMZN,Consumer Cyclical,2639149400064,29.311829,5.9703603,0.24285,0.12224
AXP,Financial Services,239210004480,21.883894,7.0332623,0.34419,0.16305
BA,Industrials,175223848960,87.85771,29.282043,1.69947,0.024600001
BAC,Financial Services,423453556736,14.806451,1.543296,0.10644,0.28956
BLK,Financial Services,168473886720,26.111643,2.839669,0.118990004,0.24396999
BMY,Healthcare,117582471168,16.128853,5.858771,0.38731998,0.15006
C,Financial Services,240128163840,17.38148,1.2545333,0.07649,0.20356001
CAT,Industrials,438672392192,47.38358,23.509909,0.51331,0.13328
COP,Energy,132842782720,18.481356,2.0582516,0.112840004,0.12331
CRM,Technology,133759082496,18.946636,3.9070837,0.16908,0.18733
CSCO,Technology,478135418880,40.436665,9.782275,0.25229,0.19685
CVX,Energy,351317819392,30.78534,1.8986933,0.06638,0.059270002
DE,Industrials,158415486976,33.23103,5.780334,0.18349001,0.10104
DUK,Utilities,97823735808,19.304615,1.8252698,0.09661,0.15706
EOG,Energy,71425490944,13.19882,2.3205512,0.18195,0.23322001
GE,Industrials,375375921152,44.62981,20.758654,0.45428002,0.17863001
GOOGL,Communication Services,4358514933760,27.244852,9.039328,0.38884997,0.37919
GS,Financial Services,311285940224,19.269176,2.9617343,0.14548,0.29363
HD,Consumer Cyclical,342310125568,24.382101,24.669443,1.2838,0.08411
HON,Industrials,71735869440,18.084663,5.2785935,0.24264,0.1089
INTC,Technology,552055799808,,4.952879,-0.02911,-0.05904
JNJ,Healthcare,618606624768,29.777521,7.617608,0.26416,0.21834
JPM,Financial Services,901575147520,16.10675,2.6209116,0.16465001,0.33936
KO,Consumer Defensive,359214252032,26.254715,10.681934,0.43372002,0.278
LLY,Healthcare,1059905929216,42.19311,34.04015,1.07459,0.34986
LMT,Industrials,120635490304,25.313013,16.068916,0.6764,0.06382
LOW,Consumer Cyclical,118662438912,17.889265,-12.807432,,0.075100005
MCD,Consumer Cyclical,195104915456,22.61944,-151.71272,,0.31618
META,Communication Services,1698738339840,24.33491,6.969994,0.32930002,0.32837
MMM,Industrials,82157281280,30.409267,25.17903,0.71458,0.11137
MRK,Healthcare,305122115584,34.8,6.650517,0.18944,0.13586001
MS,Financial Services,350598889472,20.115837,3.35882,0.16388,0.24753
MSFT,Technology,2860690440192,22.93627,6.9042797,0.34013999,0.39341998
NEE,Utilities,183449845760,22.324873,3.3216267,0.10325,0.29369
NKE,Consumer Cyclical,65706954752,21.128572,4.4254937,0.22138001,0.066989996
NVDA,Technology,5109662089216,32.25688,26.141266,1.14288,0.62966
ORCL,Technology,405109440512,24.082191,10.785276,0.53376,0.25368
PFE,Healthcare,137755574272,18.450382,1.5287793,0.083100006,0.118310004
PG,Consumer Defensive,342397190144,21.497074,6.370608,0.31112,0.19162
RTX,Industrials,263855669248,36.75985,3.9809415,0.11571,0.080290005
SBUX,Consumer Cyclical,120819597312,80.92367,-14.269754,,0.03888
SCHW,Financial Services,179339657216,20.500994,4.220176,0.19083,0.37986
SLB,Energy,71403954176,21.039646,2.7277398,0.14066,0.09263
SO,Utilities,107781259264,24.452684,2.9034314,0.109910004,0.14458999
SPGI,Financial Services,127428001792,27.246836,4.0877757,0.13939999,0.30361998
TGT,Consumer Defensive,61379387392,17.482536,3.7436976,0.22015,0.03243
TMO,Healthcare,195863085056,28.990648,3.7713773,0.13523,0.15151
TSLA,Consumer Cyclical,1531433975808,370.69092,18.62173,0.04901,0.03946
UNH,Healthcare,385616248832,31.950338,3.9390342,0.121759996,0.02678
UNP,Industrials,170371940352,23.63756,8.773389,0.40686,0.29202
UPS,Industrials,95600205824,18.228525,5.884476,0.33353,0.05943
WFC,Financial Services,266726129664,13.471408,1.6385307,0.12028,0.26742
XOM,Energy,575650267136,23.380472,2.23751,0.09873,0.077649996
